cycle,instructions,p63_instructions
1621460,983395,2
1625727,985979,2
1629994,988584,2
1634261,991173,2
1638528,993767,2
1642795,996358,2
1647062,998959,2
1651329,1001549,2
1655596,1004141,2
1659863,1006730,2
1664130,1009335,2
1668397,1011920,2
1672664,1014527,2
1676931,1017105,2
1681198,1019708,2
1685465,1022300,2
1689732,1024900,2
1693999,1027492,2
1698266,1030082,2
1702533,1032654,2
1706800,1035256,2
1711067,1037843,2
1715334,1040450,2
1719601,1043028,2
1723868,1045631,2
1728135,1048219,2
1732402,1050823,2
1736669,1053414,2
1740936,1056009,2
1745203,1058596,2
1749470,1061198,2
1753737,1063788,2
1758004,1066379,2
1762271,1068970,2
1766538,1071573,2
1770805,1074162,2
1775072,1076772,2
1779339,1079349,2
1783606,1081955,2
1787873,1084546,2
1792140,1087110,2
1796407,1089701,2
1800674,1092296,2
1804941,1094882,2
1809208,1097488,2
1813475,1100075,2
1817742,1102681,2
1822009,1105259,2
1826276,1107862,2
1830543,1110449,2
1834810,1113053,2
1839077,1115643,2
1843344,1118236,2
1847611,1120824,2
1851878,1123429,2
1856145,1126017,2
1860412,1128612,2
1864679,1131202,2
1868946,1133804,2
1873213,1136392,2
1877480,1138998,2
1881747,1141555,2
1886014,1144159,2
1890281,1146751,2
1894548,1149351,2
1898815,1151943,2
1903082,1154534,2
1907349,1157124,2
1911616,1159727,2
1915883,1162314,2
1920150,1164922,2
1924417,1167496,2
1928684,1170104,2
1932951,1172691,2
1937218,1175294,2
1941485,1177886,2
1945752,1180478,2
1950019,1183068,2
1954286,1185673,2
1958553,1188262,2
1962820,1190856,2
1967087,1193447,2
1971354,1196015,2
1975621,1198605,2
1979888,1201210,2
1984155,1203786,2
1988422,1206391,2
1992689,1208978,2
1996956,1211582,2
2001223,1214172,2
2005490,1216763,2
2009757,1219354,2
2014024,1221957,2
2018291,1224547,2
2022558,1227152,2
2026825,1229727,2
2031092,1232335,2
2035359,1234918,2
2039626,1237525,2
2043893,1240115,2
2048160,1242705,2
2052427,1245295,2
2056694,1247897,2
2060961,1250468,2
2065228,1253063,2
2069495,1255650,2
2073762,1258257,2
2078029,1260845,2
2082296,1263447,2
2086563,1266026,2
2090830,1268628,2
2095097,1271218,2
2099364,1273823,2
2103631,1276411,2
2107898,1279005,2
2112165,1281594,2
2116432,1284196,2
2120699,1286786,2
2124966,1289389,2
2129233,1291969,2
2133500,1294579,2
2137767,1297165,2
2142034,1299772,2
2146301,1302358,2
2150568,1304917,2
2154835,1307508,2
2159102,1310108,2
2163369,1312699,2
2167636,1315292,2
2171903,1317879,2
2176170,1320487,2
2180437,1323072,2
2184704,1325679,2
2188971,1328256,2
2193238,1330860,2
2197505,1333450,2
2201772,1336052,2
2206039,1338640,2
2210306,1341235,2
2214573,1343821,2
2218840,1346427,2
2223107,1349018,2
2227374,1351620,2
2231641,1354199,2
2235908,1356802,2
2240175,1359369,2
2244442,1361976,2
2248709,1364563,2
2252976,1367158,2
2257243,1369748,2
2261510,1372348,2
2265777,1374939,2
2270044,1377530,2
2274311,1380121,2
2278578,1382729,2
2282845,1385313,2
2287112,1387918,2
2291379,1390495,2
2295646,1393099,2
2299913,1395690,2
2304180,1398292,2
2308447,1400882,2
2312714,1403477,2
2316981,1406069,2
2321248,1408672,2
2325515,1411258,2
2329782,1413830,2
2334049,1416408,2
2338316,1419013,2
2342583,1421600,2
2346850,1424208,2
2351117,1426795,2
2355384,1429389,2
2359651,1431977,2
2363918,1434579,2
