bank,pc,count
00,3341,7
00,3342,7
00,3343,8
00,3344,8
00,3345,8
00,3346,4
00,3347,4
00,3351,4
00,3352,4
00,3353,4
00,3354,4
00,3355,4
00,3356,4
00,3360,4
00,3362,4
00,3363,4
00,3364,4
00,3365,4
00,3366,4
00,3370,4
00,3405,4
00,3406,4
00,3407,4
00,3417,4
00,3420,4
00,3421,4
00,3422,4
00,3423,4
00,3424,4
00,3425,4
00,3426,4
00,3427,4
00,3430,4
00,3431,4
00,3432,4
00,3433,4
00,3434,4
00,3435,4
00,3436,4
00,3437,4
00,3440,4
00,3441,4
00,3442,4
00,3443,4
00,3444,4
00,3445,4
00,3446,4
00,3447,4
00,3450,4
00,3451,4
00,3455,4
00,3456,4
00,3457,4
00,3460,4
00,3475,11
00,3476,11
00,3477,11
00,3500,11
00,3501,11
00,3502,15
00,3503,15
00,3504,15
00,3505,15
00,3506,15
00,3507,15
00,3510,15
00,3511,15
00,3512,15
00,3513,11
00,3514,11
00,3515,4
00,3517,6
00,3520,6
00,3523,6
00,3524,6
00,3525,6
00,3526,6
00,3527,6
00,3530,12
00,3531,12
00,3532,12
00,3533,6
00,3534,6
00,3535,6
00,3536,12
00,3537,12
00,3540,12
00,3541,12
00,3542,9
00,3543,3
00,3544,3
00,3545,3
00,3546,3
00,3547,3
00,3550,3
00,3551,3
00,3552,3
00,3553,12
00,3554,12
00,3555,12
00,3556,12
00,3557,12
00,3573,12
00,3574,12
00,3575,12
00,3576,12
00,3577,12
00,3600,12
00,3601,12
00,3602,12
00,3603,12
00,3604,12
00,3605,12
00,3606,12
00,3607,12
01,2344,6
01,2345,6
01,2346,8
01,2347,8
01,2350,8
01,2354,2
01,2355,2
01,2356,2
01,2357,2
01,2364,1
01,2365,1
01,2366,1
01,2367,7
01,2370,7
01,2371,7
01,2427,9
01,2430,9
01,2431,9
01,2432,5
01,2433,5
01,2434,4
01,2435,4
01,2436,4
01,2437,4
01,2440,9
01,2441,15
01,2442,15
01,2443,15
01,2444,2
01,2445,2
01,2446,13
01,2447,7
01,2450,5
01,2451,5
01,2452,2
01,2453,1
01,2454,1
01,2457,7
01,2461,7
01,2467,9
01,2472,9
01,2474,4
01,2477,4
01,2500,2
01,2502,2
01,2507,25
01,2510,19
01,2512,6
01,2513,6
01,2514,6
01,2515,6
01,2516,24
01,2517,24
01,2520,24
01,2521,24
01,2522,24
01,2523,24
01,2524,24
01,2525,24
01,2526,24
01,2527,24
01,2530,24
01,2531,24
01,2532,24
01,2533,24
01,2534,24
01,2535,24
01,2536,24
01,2537,24
01,2540,24
01,2541,4
01,2542,4
01,2543,4
01,2544,4
01,2551,13
01,2552,13
01,2553,17
01,2554,17
01,2555,24
01,2556,24
01,2557,24
01,2560,24
01,2561,24
01,2562,24
01,2563,24
01,2564,4
01,2565,7
01,2566,7
01,2567,4
01,2570,5
01,2574,3
01,2575,3
01,2577,4
01,2600,19
01,2601,2
01,2602,2
01,2603,1
01,2604,1
01,2605,1
01,2620,2
01,2621,2
01,2622,2
01,2623,2
01,2624,2
01,2625,27
01,2626,27
01,2627,27
01,2630,33
01,2631,33
01,2632,33
01,2633,6
01,2636,27
01,2637,27
01,2640,27
01,2641,27
01,2642,27
01,2643,27
01,2644,27
01,2645,5
01,2646,22
01,2647,22
01,2650,22
01,2651,22
01,2655,22
01,2656,22
01,2657,22
01,2660,22
01,2661,5
01,2662,5
01,2663,5
01,2664,5
01,2665,5
01,2666,5
01,2667,5
01,2670,5
01,2674,6
01,2675,6
01,2676,6
01,2677,6
01,2704,4
01,2705,4
01,2706,4
01,2707,4
01,2710,4
01,2711,4
01,2712,4
01,2713,4
01,2714,4
01,2715,4
01,2716,4
01,2717,4
01,2720,4
01,2721,4
01,2722,4
01,2723,4
01,2724,4
01,2725,4
01,2726,4
01,2727,4
01,2730,4
01,2731,4
01,2732,4
01,2733,4
01,2734,4
01,2735,4
01,2736,4
01,2737,4
01,2740,4
01,2741,4
01,2742,4
01,2743,4
01,2746,4
01,2747,4
01,2750,4
01,2751,4
01,2752,4
01,2753,4
01,2754,4
01,2755,4
01,2756,4
01,2757,4
01,2764,6
01,2765,6
01,2766,6
01,2767,6
01,2770,6
01,2771,6
01,2776,1
01,2777,1
01,3000,1
01,3001,1
01,3002,1
01,3003,1
01,3004,1
01,3005,1
01,3006,1
01,3007,3
01,3010,3
01,3023,2
01,3024,2
01,3025,2
01,3026,2
01,3027,16
01,3030,16
01,3031,16
01,3032,2
01,3035,16
01,3036,16
01,3037,16
01,3040,14
01,3041,2
01,3042,2
01,3043,2
01,3072,2
01,3073,2
01,3074,2
01,3075,2
01,3076,2
01,3077,2
01,3100,2
01,3101,2
01,3102,2
01,3103,22
01,3104,22
01,3105,22
01,3106,22
01,3107,22
01,3110,22
01,3111,22
01,3112,22
01,3113,22
01,3114,22
01,3115,1
01,3116,1
01,3117,1
01,3120,25
01,3121,4
01,3123,8
01,3124,25
01,3125,1
01,3130,25
01,3134,25
01,3140,25
01,3144,25
01,3150,25
01,3154,25
01,3157,6
01,3160,19
01,3161,6
01,3162,4
01,3163,2
01,3164,4
01,3165,4
01,3166,4
01,3167,4
01,3170,4
01,3171,5
01,3172,5
01,3173,5
01,3174,5
01,3175,5
01,3201,5
01,3202,5
01,3203,5
01,3204,5
01,3205,5
01,3206,19
01,3207,19
01,3210,22
01,3211,22
01,3212,22
01,3213,22
01,3214,56877
01,3216,21
01,3217,21
01,3220,56856
01,3221,56856
01,3222,56856
01,3223,56856
01,3225,21
01,3226,21
01,3227,21
01,3230,21
01,3407,3
01,3410,3
01,3411,3
01,3412,3
01,3413,3
01,3414,3
01,3415,3
01,3416,3
01,3417,3
01,3420,3
01,3421,3
01,3422,3
01,3423,3
01,3424,3
01,3425,3
01,3426,3
01,3427,3
01,3430,3
01,3431,3
01,3432,3
01,3433,3
01,3434,3
01,3435,3
01,3436,3
01,3437,3
01,3440,3
01,3441,3
01,3442,3
01,3443,3
01,3444,3
01,3445,3
01,3446,3
01,3447,3
01,3450,3
01,3451,3
01,3526,1
01,3527,1
01,3530,1
01,3531,1
01,3532,1
01,3533,1
01,3534,1
01,3535,1
01,3536,1
01,3537,1
01,3541,1
01,3542,1
01,3544,1
01,3545,1
01,3550,1
01,3565,1
02,4000,1
02,4001,1
02,4002,1
02,4003,1
02,4010,301
02,4011,301
02,4012,301
02,4013,301
02,4014,3
02,4015,3
02,4016,3
02,4017,3
02,4020,372
02,4021,372
02,4022,372
02,4023,372
02,4024,18
02,4025,18
02,4026,18
02,4027,18
02,4040,1431
02,4041,1431
02,4042,1431
02,4043,1431
02,4155,1
02,4156,1
02,4157,1
02,4160,1
02,4161,1
02,4163,1
02,4164,1
02,4165,1
02,4166,1
02,4167,1
02,4170,1
02,4171,1
02,4172,1
02,4173,1
02,4174,1
02,4175,1
02,4176,1
02,4177,1
02,4200,1
02,4202,1
02,4203,1
02,4204,1
02,4205,1
02,4206,1
02,4207,1
02,4210,1
02,4211,1
02,4212,1
02,4213,1
02,4214,1
02,4215,1
02,4216,1
02,4220,1
02,4222,1
02,4224,1
02,4226,1
02,4255,1
02,4256,1
02,4257,1
02,4260,1
02,4261,1
02,4262,1
02,4264,1
02,4265,1
02,4267,1
02,4303,2
02,4304,2
02,4305,2
02,4306,2
02,4307,2
02,4310,2
02,4322,1
02,4323,1
02,4324,1
02,4325,1
02,4326,1
02,4327,1
02,4330,1
02,4331,2
02,4332,2
02,4333,2
02,4334,2
02,4335,2
02,4336,2
02,4337,2
02,4340,15
02,4341,15
02,4342,15
02,4343,15
02,4344,15
02,4345,15
02,4374,7
02,4375,7
02,4376,7
02,4377,7
02,4400,18
02,4401,18
02,4402,18
02,4403,18
02,4427,3
02,4430,3
02,4431,3
02,4432,3
02,4433,2
02,4434,2
02,4435,2
02,4436,2
02,4457,1
02,4460,1
02,4461,1
02,4462,1
02,4463,1
02,4464,1
02,4465,1
02,4467,1
02,4473,1
02,4474,1
02,4475,1
02,4476,1
02,4477,1
02,4500,1
02,4501,1
02,4616,14
02,4617,14
02,4620,14
02,4621,19
02,4622,20
02,4623,20
