cycle,instructions,p63_instructions
1621460,977570,16
1625727,980174,16
1629994,982761,16
1634261,985369,16
1638528,987956,16
1642795,990550,16
1647062,993138,16
1651329,995740,16
1655596,998331,16
1659863,1000921,16
1664130,1003512,16
1668397,1006117,16
1672664,1008704,16
1676931,1011310,16
1681198,1013886,16
1685465,1016494,16
1689732,1019081,16
1693999,1021682,16
1698266,1024273,16
1702533,1026866,16
1706800,1029435,16
1711067,1032040,16
1715334,1034627,16
1719601,1037233,16
1723868,1039809,16
1728135,1042415,16
1732402,1045002,16
1736669,1047604,16
1740936,1050195,16
1745203,1052787,16
1749470,1055377,16
1753737,1057982,16
1758004,1060570,16
1762271,1063164,16
1766538,1065755,16
1770805,1068357,16
1775072,1070948,16
1779339,1073553,16
1783606,1076132,16
1787873,1078737,16
1792140,1081326,16
1796407,1083894,16
1800674,1086486,16
1804941,1089076,16
1809208,1091667,16
1813475,1094266,16
1817742,1096856,16
1822009,1099463,16
1826276,1102039,16
1830543,1104645,16
1834810,1107230,16
1839077,1109837,16
1843344,1112427,16
1847611,1115018,16
1851878,1117609,16
1856145,1120210,16
1860412,1122799,16
1864679,1125394,16
1868946,1127982,16
1873213,1130587,16
1877480,1133173,16
1881747,1135779,16
1886014,1138338,16
1890281,1140940,16
1894548,1143532,16
1898815,1146134,16
1903082,1148722,16
1907349,1151316,16
1911616,1153903,16
1915883,1156508,16
1920150,1159096,16
1924417,1161702,16
1928684,1164281,16
1932951,1166883,16
1937218,1169470,16
1941485,1172077,16
1945752,1174664,16
1950019,1177258,16
1954286,1179849,16
1958553,1182457,16
1962820,1185046,16
1967087,1187637,16
1971354,1190229,16
1975621,1192798,16
1979888,1195382,16
1984155,1197989,16
1988422,1200568,16
1992689,1203170,16
1996956,1205761,16
2001223,1208363,16
2005490,1210953,16
2009757,1213546,16
2014024,1216134,16
2018291,1218737,16
2022558,1221324,16
2026825,1223931,16
2031092,1226509,16
2035359,1229112,16
2039626,1231702,16
2043893,1234305,16
2048160,1236895,16
2052427,1239487,16
2056694,1242076,16
2060961,1244680,16
2065228,1247248,16
2069495,1249841,16
2073762,1252432,16
2078029,1255035,16
2082296,1257625,16
2086563,1260228,16
2090830,1262806,16
2095097,1265412,16
2099364,1267999,16
2103631,1270603,16
2107898,1273189,16
2112165,1275784,16
2116432,1278374,16
2120699,1280976,16
2124966,1283566,16
2129233,1286171,16
2133500,1288751,16
2137767,1291360,16
2142034,1293944,16
2146301,1296550,16
2150568,1299142,16
2154835,1301697,16
2159102,1304287,16
2163369,1306892,16
2167636,1309479,16
2171903,1312073,16
2176170,1314660,16
2180437,1317267,16
2184704,1319854,16
2188971,1322458,16
2193238,1325036,16
2197505,1327639,16
2201772,1330228,16
2206039,1332832,16
2210306,1335420,16
2214573,1338015,16
2218840,1340603,16
2223107,1343207,16
2227374,1345796,16
2231641,1348398,16
